"date"	"spx"	"ibm"
"2006-01-03"	1.62969571504821	-0.172754238423067
"2006-01-04"	0.366603354426509	-0.135945148539829
"2006-01-05"	0.00157051206555181	0.67788513732614
"2006-01-06"	0.935554103254521	2.91735269110394
"2006-01-09"	0.364963908754934	-1.44198605283066
"2006-01-10"	-0.0356611266493445	0.410678195265302
"2006-01-11"	0.347541054260692	0.108427213803175
"2006-01-12"	-0.629400893391807	-0.712950878055008
"2006-01-13"	0.120450577377795	-0.474078563713309
"2006-01-17"	-0.356331874250237	-0.207355078259663
"2006-01-18"	-0.39828866846312	0.959968487505147
"2006-01-19"	0.554826489507221	-0.850138712598891
"2006-01-20"	-1.8496284270765	-2.10767646799486
"2006-01-23"	0.1845318524202	0.062262625758347
"2006-01-24"	0.240251747535325	-0.687030370846031
"2006-01-25"	-0.172227224445543	0.0751785525947568
"2006-01-26"	0.720898450404128	-0.238259564715104
"2006-01-27"	0.773400269579394	0.375940292390542
"2006-01-30"	0.114445438761823	0.747667034302069
"2006-01-31"	-0.398399136067962	-0.41052492810767
"2006-02-01"	0.185753251409526	0.782272568120845
"2006-02-02"	-0.91020093392773	-0.869570696755328
"2006-02-03"	-0.537306953307048	-1.55919165226184
"2006-02-06"	0.0782902710952271	-0.571902175153749
"2006-02-07"	-0.812767391884694	0.419714447619057
"2006-02-08"	0.862556579176221	1.43651663803306
"2006-02-09"	-0.147859426091212	-0.501694266888375
"2006-02-10"	0.253677870484381	1.15015644693486
"2006-02-13"	-0.326501861291018	-1.09987360489487
"2006-02-14"	0.998278847617673	0.813572295246345
"2006-02-15"	0.349829942023039	-0.299625692323424
"2006-02-16"	0.730140475212959	0.074990629685967
"2006-02-17"	-0.166109126845448	-0.250187771232380
"2006-02-21"	-0.327592335826843	-0.263372573385556
"2006-02-22"	0.748537874088129	1.04935378886886
"2006-02-23"	-0.378227588694546	-1.41420290718575
"2006-02-24"	0.127268934849489	-0.126119325583396
"2006-02-27"	0.363066722290206	0.654090382323247
"2006-02-28"	-1.04553574396311	-0.477567829866299
"2006-03-01"	0.822742694540057	-0.4292393915307
"2006-03-02"	-0.16276676021576	0.0505944862803531
"2006-03-03"	-0.148270655993876	0.0252876471192209
"2006-03-06"	-0.699284468279249	0.0505561183669734
"2006-03-07"	-0.186364153009855	0.365769468776289
"2006-03-08"	0.202791386270462	1.05198214984448
"2006-03-09"	-0.489278429329243	-0.149607308792366
"2006-03-10"	0.719757184735048	0.671477280485266
"2006-03-13"	0.211260821883741	0.445159632127012
"2006-03-14"	1.03424754322692	1.15310404264015
"2006-03-15"	0.426072553816148	0.595855110061816
"2006-03-16"	0.177123515166677	-0.60805246325133
"2006-03-17"	0.146981171535820	0.511012183923487
"2006-03-20"	-0.166135250838639	0.339229789814155
"2006-03-21"	-0.60331196596044	0.277794731455927
"2006-03-22"	0.600246972779761	0.756987694090228
"2006-03-23"	-0.258563620618713	-1.49544513860054
"2006-03-24"	0.0982868981305174	0.194221959572971
"2006-03-27"	-0.102896467597535	-0.327968711834536
"2006-03-28"	-0.645899487712409	-0.793994276930121
"2006-03-29"	0.74419091432425	0.842650159169711
"2006-03-30"	-0.202832034012612	0.0850908700219755
"2006-03-31"	-0.414624965895172	-0.87869737936117
"2006-04-03"	0.226792451066338	0.720613805368409
"2006-04-04"	0.623720212013179	0.461389842304083
"2006-04-05"	0.430183777764626	0.856407140069226
"2006-04-06"	-0.192322428203173	-0.421255963870237
"2006-04-07"	-1.03973231184753	-1.60489766874177
"2006-04-10"	0.0864157577348479	-0.454518318255737
"2006-04-11"	-0.778111614478938	-1.15164420615592
"2006-04-12"	0.120402859159796	-0.511957164897847
"2006-04-13"	0.077602400256449	1.5157452573753
"2006-04-17"	-0.294432033091852	-0.42011676767304
"2006-04-18"	1.69331480455615	2.02249953306550
"2006-04-19"	0.202505790945828	-1.75045781712768
"2006-04-20"	0.116731976068873	0.197384717428584
"2006-04-21"	-0.0137261032571168	-0.444664764303404
"2006-04-24"	-0.242041204066012	0.555522692759602
"2006-04-25"	-0.488151629352629	0.674807787363374
"2006-04-26"	0.281533661206446	0.815933406911107
"2006-04-27"	0.329620623245219	0.640756589911451
"2006-04-28"	0.0679303777939566	-1.86102798566683
"2006-05-01"	-0.414405364060766	-0.135143456897513
"2006-05-02"	0.612589755596993	0.233315019574043
"2006-05-03"	-0.388352965646988	0.342843485078781
"2006-05-04"	0.315222920414193	-0.33057881345
"2006-05-05"	1.02426587566278	1.02489916168276
"2006-05-08"	-0.0830057170680298	-0.109309539031255
"2006-05-09"	0.0362291497659761	0.412321709547125
"2006-05-10"	-0.172961421371642	-0.400170303006941
"2006-05-11"	-1.28807267848590	-0.523848429466689
"2006-05-12"	-1.13047762472691	-0.085537977965533
"2006-05-15"	0.252152322142063	0.597235000892038
"2006-05-16"	-0.187119726133478	-0.878804630513308
"2006-05-17"	-1.69844857124160	-1.08468954520742
"2006-05-18"	-0.672163912629475	-0.758851685344997
"2006-05-19"	0.412838092875223	-0.475654921079549
"2006-05-22"	-0.392234894552068	-0.326756605925205
"2006-05-23"	-0.435948519630358	-0.226843197462845
"2006-05-24"	0.158241092201283	-0.0631034286100451
"2006-05-25"	1.13058937991131	0.440890050958309
"2006-05-26"	0.570302050221283	0.763792606908886
"2006-05-30"	-1.59765290823302	-0.738657505607776
"2006-05-31"	0.807922306399966	-0.314643768487066
"2006-06-01"	1.22233308406710	0.978432291311382
"2006-06-02"	0.195032560762876	-1.45859495253742
"2006-06-05"	-1.79600756318434	-0.584351256292948
