"t" "houseId" "Q" "Ta" "G" "Ws" "sunElev"
"2008-10-02" 3 NA 9.59924618055556 63.7004746875 2.84582048611111 0.337151588528363
"2008-10-03" 3 NA 10.2856336805556 111.414480607639 3.19601076388889 0.333019939525095
"2008-10-04" 3 NA 9.95794826388889 116.680434768519 3.29144027777778 0.329391812094595
"2008-10-05" 3 NA 8.39112847222222 116.548580300926 3.04730104166667 0.325268318210946
"2008-10-06" 3 NA 9.12225138888889 54.3847764988426 4.17854791666667 0.3211527305741
"2008-10-07" 3 NA 9.0405625 153.753525005787 0.521307291666667 0.317046959261461
"2008-10-08" 3 NA 11.54950625 94.662142806713 1.81719756944444 0.313439358366851
"2008-10-09" 3 NA 12.5965375 71.9474652083333 2.03011805555556 0.309353830143042
"2008-10-10" 3 NA 11.6831482638889 142.504145271991 1.62630555555556 0.305764220610032
"2008-10-11" 3 NA 12.0838244949495 83.3011431638558 3.47277408459596 0.301705091964805
"2008-10-12" 3 NA 13.2738159722222 71.6615279340278 3.81293229166667 0.298139403298945
"2008-10-13" 3 NA 13.758765625 105.05069474537 2.14906284722222 0.294112911426511
"2008-10-14" 3 NA 13.0414003472222 67.4514008564815 2.50493125 0.290106003739827
"2008-10-15" 3 NA 13.0854145833333 86.6547900347222 1.40210972222222 0.286589603685087
"2008-10-16" 3 NA 12.0422434027778 37.9206173611111 3.44596875 0.282624893687168
"2008-10-17" 3 NA 8.84473819444444 35.041896880787 2.42725138888889 0.279147622818162
"2008-10-18" 3 NA 9.25334618055556 118.934487957176 2.49573506944444 0.275231529605261
"2008-10-19" 3 NA 9.75250347222222 29.9576671296296 3.14431006944444 0.271343233175144
"2008-10-20" 3 NA 11.4495267361111 69.5613946469907 2.99388854166667 0.267484424589416
"2008-10-21" 3 NA 12.1825732638889 105.644380625 4.45802951388889 0.264108682540454
"2008-10-22" 3 NA 10.6469850694444 46.6523908912037 3.11543888888889 0.260311639288453
"2008-10-23" 3 NA 8.40827986111111 75.3140122685185 2.91946388888889 0.256549135109328
"2008-10-24" 3 NA 9.0860298611111 99.5637822280093 3.52852430555556 0.253265132658505
"2008-10-25" 3 NA 8.90769513888889 20.1479098668981 3.743371875 0.249574347448253
"2008-10-26" 3 NA 9.02725798611111 92.5678364872685 3.50315729166667 0.245923198054462
"2008-10-27" 3 NA 10.4567462711353 11.8598868229167 4.35846117149758 0.242313411731873
"2008-10-28" 3 NA 7.49054253472222 56.6911781423611 2.64981319444444 0.238746718168565
"2008-10-29" 3 NA 6.29411534722222 68.0553458043981 2.59620875 0.23522484868504
"2008-10-30" 3 NA 4.40963125 77.0198790277778 2.084678125 0.231749535409661
"2008-10-31" 3 NA 4.377325 36.3448336284722 1.09438055555556 0.228743252837805
"2008-11-01" 3 NA 3.78858020833333 83.8797700231482 0.146177083333333 0.225363278401869
"2008-11-02" 3 NA 5.93820034722222 32.6959723900463 1.93128888888889 0.222034988880874
"2008-11-03" 3 NA 7.84292881944444 16.6173514756944 2.29688784722222 0.218760111123146
"2008-11-04" 3 NA 7.95319201388889 18.8335007060185 2.13981111111111 0.215540368375818
"2008-11-05" 3 NA 7.95563784722222 9.6161816550926 1.12973854166667 0.211972218682585
"2008-11-06" 3 NA 8.17043784722222 12.5434851793981 3.17453229166667 0.208871182560614
"2008-11-07" 3 NA 8.6134875 12.0741401157407 3.01144618055556 0.205830482271324
"2008-11-08" 3 NA 8.87597916666667 7.25590097222222 1.56103541666667 0.202851816363348
"2008-11-09" 3 NA 7.6525125 28.6521536111111 1.20522430555556 0.199936874711483
"2008-11-10" 3 NA 7.02856458333333 37.2680637268518 3.95069270833333 0.197087337449497
"2008-11-11" 3 NA 8.95909270833333 36.2050722743056 5.08851180555556 0.19391757162903
"2008-11-12" 3 NA 8.35045 25.1566709606481 3.75570173611111 0.191207482517042
"2008-11-13" 3 NA 6.79590833333333 15.9888805729167 4.7172 0.188567827606286
"2008-11-14" 3 NA 6.29484340277778 45.6975705844907 2.76749513888889 0.185621335077016
"2008-11-15" 3 NA 9.05416944444444 11.1466917939815 4.90861736111111 0.18313122960648
"2008-11-16" 3 NA 9.47152256944444 10.8801233969907 4.70062395833333 0.180342510844568
"2008-11-17" 3 NA 6.40525798611111 33.3711483391204 3.95240243055556 0.17800855750839
"2008-11-18" 3 NA 3.76806423611111 52.1891111631944 1.73200381944444 0.175384332073016
"2008-11-19" 3 NA 5.04228645833333 19.0552069270833 5.422790625 0.173212974891159
"2008-11-20" 3 NA 7.40335694444444 14.3939481134259 4.14076944444444 0.170759785462994
"2008-11-21" 3 NA 5.75087013888889 32.1038480150463 4.83366145833333 0.168395186519033
"2008-11-22" 3 NA 1.02315555555556 50.3845520833333 3.25989444444444 0.166122142833543
"2008-11-23" 3 NA 0.593445138888889 51.1317370891204 4.13176840277778 0.163941360923821
"2008-11-24" 3 NA 0.620422916666667 43.7854011574074 1.67087083333333 0.161853779585086
"2008-11-25" 3 NA 0.00579583333333332 47.7785823148148 1.64985520833333 0.1598609042612
"2008-11-26" 3 NA 1.08360451388889 46.4851230729167 2.17385138888889 0.157614989656336
"2008-11-27" 3 NA 5.75592638888889 13.2775192766204 3.25593715277778 0.155818980094811
"2008-11-28" 3 NA 7.26610625 7.75305321180556 5.50251666666667 0.154121926805279
"2008-11-29" 3 NA 4.66220451388889 16.4423382986111 3.18636770833333 0.15218226034049
"2008-11-30" 3 NA 1.90849583333333 7.71979170138889 1.38282430555556 0.150690071332805
"2008-12-01" 3 2.09999990463257 2.71294791666667 8.55309835648148 1.17710243055556 0.148960800813237
